Id,Province_State,Country_Region,Date
1,Georgia,US,04-15-2020
2,Georgia,US,04-16-2020
3,Georgia,US,04-17-2020
4,Georgia,US,04-18-2020
5,Georgia,US,04-19-2020
6,Georgia,US,04-20-2020
7,Georgia,US,04-21-2020
8,Georgia,US,04-22-2020
9,Georgia,US,04-23-2020
10,Georgia,US,04-24-2020
11,Georgia,US,04-25-2020
12,Georgia,US,04-26-2020
13,Georgia,US,04-27-2020
14,Georgia,US,04-28-2020
15,Georgia,US,04-29-2020
16,Georgia,US,04-30-2020
17,Georgia,US,05-01-2020
18,Georgia,US,05-02-2020
19,Georgia,US,05-03-2020
20,Georgia,US,05-04-2020
21,Georgia,US,05-05-2020
22,Georgia,US,05-06-2020
23,Georgia,US,05-07-2020
24,Georgia,US,05-08-2020
25,Georgia,US,05-09-2020
26,Georgia,US,05-10-2020
27,Georgia,US,05-11-2020
28,Georgia,US,05-12-2020
29,Georgia,US,05-13-2020
30,Georgia,US,05-14-2020
31,Georgia,US,05-15-2020
32,Georgia,US,05-16-2020
33,Georgia,US,05-17-2020
34,Georgia,US,05-18-2020
35,Georgia,US,05-19-2020
36,Georgia,US,05-20-2020
37,Georgia,US,05-21-2020
38,Georgia,US,05-22-2020
39,Georgia,US,05-23-2020
40,Georgia,US,05-24-2020
41,Georgia,US,05-25-2020
42,Georgia,US,05-26-2020
43,Georgia,US,05-27-2020
44,Georgia,US,05-28-2020
45,Georgia,US,05-29-2020
46,Georgia,US,05-30-2020
47,Georgia,US,05-31-2020
48,Georgia,US,06-01-2020
49,Georgia,US,06-02-2020
50,Georgia,US,06-03-2020
51,Georgia,US,06-04-2020
52,Georgia,US,06-05-2020
53,Georgia,US,06-06-2020
54,Georgia,US,06-07-2020
55,Georgia,US,06-08-2020
56,Georgia,US,06-09-2020
57,Georgia,US,06-10-2020
58,Georgia,US,06-11-2020
59,Georgia,US,06-12-2020
60,Georgia,US,06-13-2020
61,Georgia,US,06-14-2020
62,Georgia,US,06-15-2020
63,Georgia,US,06-16-2020
64,Georgia,US,06-17-2020
65,Georgia,US,06-18-2020
